epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2632,1.19366,3.59968,1.24711,0.00465,1,0.50829,0.29427,0.62794,3.71539,1.00633,3.334e-05,3.334e-05,3.334e-05
2,30.4817,0.96939,3.14222,1.15985,0.00482,1,0.65403,0.40891,0.50694,3.60784,0.96431,8.25248e-05,8.25248e-05,8.25248e-05
3,44.4683,0.82002,2.79271,1.05708,0.00512,1,0.8594,0.65801,0.57271,3.40715,0.91625,0.000130719,0.000130719,0.000130719
4,58.9127,0.8632,1.92559,1.02239,0.00544,1,0.971,0.81454,0.60648,3.09384,0.86191,0.000177924,0.000177924,0.000177924
5,71.5499,0.92342,1.67828,1.16428,0.00607,1,0.971,0.86687,0.51914,2.88274,0.83519,0.000224138,0.000224138,0.000224138
6,84.9252,0.67285,1.26647,0.92898,0.00686,1,0.96722,0.88037,0.47315,2.8568,0.8228,0.000269362,0.000269362,0.000269362
7,98.7383,0.82751,1.66596,1.05113,0.60481,1,0.995,0.91502,0.49628,2.88146,0.83604,0.000313596,0.000313596,0.000313596
8,112.323,0.92215,1.55076,1.07331,1,0.70686,0.98167,0.88194,0.5649,2.89343,0.86414,0.00035684,0.00035684,0.00035684
9,126.001,0.72154,1.21414,0.97195,1,0.45461,0.995,0.81774,0.65164,2.85118,0.91363,0.000399093,0.000399093,0.000399093
10,139.532,0.71157,1.19997,0.97458,1,0.84422,0.995,0.77678,0.6806,2.82316,0.92598,0.000440356,0.000440356,0.000440356
11,153.111,0.90385,1.35512,1.06201,1,0.42724,0.98167,0.84591,0.58432,2.77326,0.87029,0.000480629,0.000480629,0.000480629
12,166.574,0.72845,1.03258,0.94899,1,0.44072,0.98167,0.86468,0.52675,2.75567,0.8628,0.000519912,0.000519912,0.000519912
13,180.254,0.68474,1.21381,0.88417,1,0.48391,0.995,0.876,0.55309,2.63413,0.87522,0.000558205,0.000558205,0.000558205
14,193.848,0.65046,1.12072,0.98725,1,0.74314,0.995,0.85908,0.5866,2.52513,0.88071,0.000595507,0.000595507,0.000595507
15,207.473,0.75709,1.04786,1.00895,0.97375,1,0.995,0.8746,0.55747,2.27732,0.86765,0.00063182,0.00063182,0.00063182
16,221.06,0.68618,1.01543,0.98529,0.96477,1,0.995,0.8636,0.63669,2.37767,0.882,0.000667142,0.000667142,0.000667142
17,234.728,0.81715,0.93291,0.96663,0.97312,1,0.995,0.83485,0.75818,2.3442,0.93557,0.000701474,0.000701474,0.000701474
18,248.391,0.83695,0.94885,1.01739,0.89471,0.875,0.98167,0.79977,0.80711,2.39402,0.96399,0.000734815,0.000734815,0.000734815
19,261.863,0.7756,1.08196,1.0047,0.88113,0.93017,0.98167,0.80785,0.75931,2.31343,0.93465,0.000767167,0.000767167,0.000767167
20,275.353,0.67669,0.99928,0.97381,1,0.95956,0.995,0.86171,0.70706,2.12499,0.90434,0.000798528,0.000798528,0.000798528
21,288.899,0.84361,1.13038,1.03793,1,0.87349,0.98167,0.84925,0.70385,2.08232,0.9048,0.000828899,0.000828899,0.000828899
